费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
保洁费,,,,,,"55139   , 55139",,,,,,,,仓库运作成本
单证文件费,,,,,,,,,,,,,,
单证文件制作及使用费,,,,,,,,,,,,,,单证文件费
海运单费,,,,,,SEA01023,,,,,,,,单证文件制作及使用费
换单费,,,,,,"OP001002, OPN063, 55214, OPN064",,,,,,,,单证文件制作及使用费
代垫换单费,,,,,,55829   ,,,,,,,,单证文件制作及使用费
船证费,,,,,,SEAN096 ,,,,,,,,单证文件制作及使用费
文件费/制单费,,,,,,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01006",,,,,,,,单证文件制作及使用费
电放费,,,,,,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01005",DBILL,,,,,,,单证文件制作及使用费
出口许可证,,,,,,"OP009001/OP001018, 05011107, 55151, OP001018",,,,,,,,单证文件制作及使用费
进口许可证,,,,,,"OP009001/OP001018, 05011107, 55151, OP001018",,,,,,,,单证文件制作及使用费
签证费,,,,,,55820   ,,,,,,,,单证文件制作及使用费
电子装箱单,,,,,,SY55001 ,,,,,,,,单证文件制作及使用费
3C代理费,,,,,,550046,,,,,,,,单证文件制作及使用费
能效证办理费,,,,,,55096   ,,,,,,,,单证文件制作及使用费
异地放单费,,,,,,0332    ,,,,,,,,单证文件制作及使用费
产地证代理费,,,,,,"58999, 0301",,,,,,,,单证文件制作及使用费
签单费,,,,,,0115,,,,,,,,单证文件制作及使用费
舱单费,,,,,,CS001012,,,,,,,,单证文件制作及使用费
交货记录费,,,,,,"CSN053  , CSN053",,,,,,,,单证文件制作及使用费
鉴定费,,,,,,CQ001012,,,,,,,,单证文件制作及使用费
补录进口舱单费,,,,,,55253,,,,,,,,单证文件制作及使用费
邮戳费,Stamp Fee,,,,,55913,,,,,,,印尼开票需向政府购买签贴,单证文件制作及使用费
入库代理费,,,,,,OPN075,,,,,,,,单证文件制作及使用费
入区代理费,,,,,,OPN074,,,,,,,,单证文件制作及使用费
文件传输及申报费,,,,,,,,,,,,,,单证文件费
,,,,,,,,,,,,,,单证文件费
运抵更改费,,,,,,655237  ,,,,,,,,文件传输及申报费
改单费,,,,,,"CS001007, 55192",,,,,,,,文件传输及申报费
集装箱核实重量费,,VGM,,,,,,,,,,,,文件传输及申报费
VGM更改费,,,,,,55078   ,,,,,,,,文件传输及申报费
舱单更改费,,,,,,0303    ,,,,,,,,文件传输及申报费
美国进口安全申报费,,,,,,"550026  , 55150",,,,,,,,文件传输及申报费
AES信息传输费,,,,,,CS001021,,,,,,,,文件传输及申报费
VGM传输费,,,,,,55914,,,,,,,,文件传输及申报费
危险品申报费,,,,,,"SEA01066, 55738",,,,,,,,文件传输及申报费
有毒物质申报费,,,,,,55842   ,,,,,,,,文件传输及申报费
舱单申报费,,,,,,"55775, SEA01018",,,,,,,,文件传输及申报费
信息费,,,,,,,,,,,,,,文件传输及申报费
更改费,,,,,,"CSN045  , CSN045",,,,,,,,文件传输及申报费
删单费,,,,,,CS001006,,,,,,,,文件传输及申报费
运抵费,,,,,,SEA01031,,,,,,,,文件传输及申报费
文件申报罚金,,,,,,655257,,,,,,,,文件传输及申报费
拍照费,,,,,,SEAN085 ,,,,,,,,质量控制
包装检查费,,,,,,CQ001018,,,,,,,,质量控制
监理费,,,,,,CSN036  ,,,,,,,,质量控制
现场服务费,,,,,,"55157   , 55128, 55157",,,,,,,,质量控制
日本舱单申报费,,,,,,550045  ,,,,,,,,舱单申报费
欧洲舱单申报费,,,,,,"SEA01111, 655232",,,,,,,,舱单申报费
加拿大舱单申报费,,,,,,SEA01110,,,,,,,,舱单申报费
美国舱单申报费,,,,,,"SEA01109, 655231",,,,,,,,舱单申报费
NVOCC代发分单反恐信息费,,,,,,,,,,,,,,舱单申报费
美国舱单更改费,,,,,,8013    ,,,,,,,,舱单申报费
设备使用及租赁费用,,,,,,,,,,,,,,
叉车费,,,,,,"WMS01003, 55773, AIR01001",WFHC,,,,,,,设备使用及租赁费用
板架租赁费,,,,,,55818   ,,,,,,,,设备使用及租赁费用
GPS使用费,,,,,,"550059  , 55173",,,,,,,,设备使用及租赁费用
电子密钥费,,,,,,55093   ,,,,,,,,设备使用及租赁费用
叉车租赁费,,,,,,55837   ,,,,,,,,设备使用及租赁费用
机动车租赁,,,,,,,,,,,,,,设备使用及租赁费用
吊车租赁费,,,,,,"55179   , 55179",,,,,,,,设备使用及租赁费用
PAD租赁费,,,,,,,,,,,,,,设备使用及租赁费用
增值服务费,,,,,,,,,,,,,,
物流准备服务,,,,,,,,,,,,,,增值服务费
质量控制,,,,,,,,,,,,,,增值服务费
GPS安装费,,,,,,WMSN085,,,,,,,,包装
核酸检测费,,,,,,55858   ,,,,,,,,其他准备服务
包装,,,,,,,,,,,,,,物流准备服务
加固费,,,,,,"SEAN097 , 55251",,,,,,,,包装
托盘费,,,,,,WMS01013,,,,,,,,包装
包装费,,,,,,"0326    , 55283, 55661",,,,,,,,包装
材料费,,,,,,OP001019,,,,,,,,包装
组板费,,,,,,55880   ,,,,,,,,包装
拼装材料费,,,,,,55845   ,,,,,,,,包装
其他准备服务,,,,,,,,,,,,,,物流准备服务
危标费,,,,,,"55271   , 55271",,,,,,,,其他准备服务
贴标费,,,,,,55759   ,,,,,,,,其他准备服务
熏蒸费,,,,,,CQ001002,DFUMI,,,,,,,其他准备服务
检测鉴定费,,,,,,"550056  , 55771",,,,,,,,其他准备服务
过磅费,,,,,,"OPN056  , OPN056",,,,,,,,其他准备服务
消毒费,,,,,,CQ001005,,,,,,,,其他准备服务
贸易服务,,,,,,,,,,,,,,增值服务费
会展服务,,,,,,,,,,,,,,增值服务费
场馆管理费,,,,,,55115,,,,,,,,会展服务
